EJERCICIO 3: valor de n: 1000
Tiempo serie: 9.316863
Numero de hilos   bucle1      bucle2      bucle3
1                   0.715345     0.768969    0.859672
2                   0.995757     1.51098    1.69954
3                   1.03188     2.26188    2.55315
4                   1.19571     2.98742    3.38791
