EJERCICIO 3: valor de n: 1700
Tiempo serie: 46.068839
Numero de hilos   bucle1      bucle2      bucle3
1                63.575558    59.821433    53.519312
2                47.942752    29.884033    26.786349
3                37.601959    20.286454    17.882302
4                32.657258    15.038472    13.444283
