EJERCICIO 3: valor de n: 1700
Tiempo serie: 46.068839
Numero de hilos   bucle1      bucle2      bucle3
1                   0.724631     0.770106    0.860789
2                   0.960914     1.54159    1.71986
3                   1.22517     2.27092    2.57623
4                   1.41068     3.0634    3.42665
