EJERCICIO 3: valor de n: 10
Tiempo serie: 0.000017
Numero de hilos   bucle1      bucle2      bucle3
1                   0.202381     0.485714    0.5
2                   0.0454545     0.114865    0.114865
3                   0.0374449     0.0862944    0.0829268
4                   0.029361     0.0845771    0.0776256
