EJERCICIO 3: valor de n: 1000
Tiempo serie: 9.316863
Numero de hilos   bucle1      bucle2      bucle3
1                13.024293    12.116044    10.837701
2                9.356559    6.166099    5.482001
3                9.028984    4.119086    3.649164
4                7.791905    3.118703    2.750032
