516    1.28427350000000000000 .20819800000000000000   6.16851987050788192009
580    1.82244350000000000000 .29246250000000000000   6.23137496260204299696
644    2.49554400000000000000 .40885050000000000000   6.10380566979861832136
708    3.31150150000000000000 .52505600000000000000   6.30694916351779619697
772    4.29724800000000000000 .67828750000000000000   6.33543740670438420286
836    5.45336950000000000000 .86193050000000000000   6.32692485066951453742
900    6.80019250000000000000 1.23108150000000000000   5.52375492605485501975
964    8.35109850000000000000 1.31140900000000000000   6.36803506762573689825
1028    10.12762450000000000000 1.59252300000000000000   6.35948397605560484840
1092    12.14259250000000000000 1.92811450000000000000   6.29765115090416051536
1156    14.39414450000000000000 2.27051300000000000000   6.33960012561037968071
1220    16.92365450000000000000 2.65067100000000000000   6.38466807083942141442
1284    19.73797150000000000000 3.27234450000000000000   6.03175231091958685890
1348    22.85181850000000000000 3.76754250000000000000   6.06544411907762155304
1412    26.34726400000000000000 4.10487750000000000000   6.41852625321949315174
1476    30.08778450000000000000 4.67895200000000000000   6.43045376400527297565
1540    34.21952850000000000000 5.37398400000000000000   6.36762753666553529001
