500    900003    74854    657084    74854
564    1141826    94319    832772    94319
628    1412530    116038    1029403    116038
692    1701294    140122    1236132    140122
756    2034144    172285    1479693    172285
820    2410564    201325    1758180    201325
884    2794210    232675    2036000    232675
948    3202143    266362    2330149    266362
