2048	0.046348	0.010194
2112	0.035858	0.011044
2176	0.037511	0.011712
2240	0.040252	0.012617
2304	0.052227	0.013003
2368	0.044109	0.013657
2432	0.047785	0.014908
2496	0.049622	0.015259
2560	0.072140	0.016460
2624	0.056555	0.017293
2688	0.061296	0.017970
2752	0.063262	0.019029
2816	0.085105	0.019192
2880	0.068450	0.020589
2944	0.074441	0.021254
3008	0.075110	0.022413
3072	0.107810	0.023022
2048	0.047387	0.010189
2112	0.035421	0.010767
2176	0.038142	0.011542
2240	0.040638	0.012300
2304	0.051371	0.012924
2368	0.044886	0.013782
2432	0.049232	0.014505
2496	0.050131	0.015589
2560	0.074186	0.016016
2624	0.055108	0.016684
2688	0.063222	0.017652
2752	0.061130	0.019057
2816	0.089792	0.019617
2880	0.068903	0.021207
2944	0.074471	0.021571
3008	0.075793	0.021937
3072	0.107337	0.023275
2048	0.046621	0.010487
2112	0.035379	0.010784
2176	0.037190	0.011547
2240	0.039525	0.012367
2304	0.052116	0.012998
2368	0.044637	0.013630
2432	0.048156	0.014897
2496	0.049816	0.015294
2560	0.072521	0.016096
2624	0.056566	0.017253
2688	0.059838	0.018039
2752	0.061387	0.018382
2816	0.083862	0.019317
2880	0.067777	0.020275
2944	0.073895	0.021210
3008	0.076127	0.022178
3072	0.107594	0.023035
2048	0.047295	0.010602
2112	0.034947	0.011300
2176	0.038170	0.011666
2240	0.040490	0.012316
2304	0.052497	0.013001
2368	0.044930	0.014029
2432	0.048555	0.014546
2496	0.050815	0.015676
2560	0.072773	0.016467
2624	0.056957	0.016733
2688	0.060464	0.018090
2752	0.061905	0.018552
2816	0.085436	0.019230
2880	0.068201	0.020546
2944	0.074037	0.021238
3008	0.079034	0.022534
3072	0.108712	0.024250
2048	0.046710	0.010354
2112	0.034856	0.011291
2176	0.036794	0.011603
2240	0.040574	0.012132
2304	0.052199	0.013093
2368	0.044671	0.013815
2432	0.048166	0.014630
2496	0.050834	0.015263
2560	0.073182	0.015998
2624	0.055900	0.017108
2688	0.061376	0.017707
2752	0.063866	0.018600
2816	0.085145	0.019626
2880	0.070094	0.020243
2944	0.073140	0.021533
3008	0.079078	0.022414
3072	0.107034	0.023628
2048	0.046881	0.010483
2112	0.034846	0.011576
2176	0.038618	0.011405
2240	0.040053	0.012666
2304	0.053044	0.013666
2368	0.046360	0.014829
2432	0.050003	0.014699
2496	0.050597	0.015268
2560	0.073647	0.016631
2624	0.055420	0.016845
2688	0.062108	0.018498
2752	0.063181	0.018931
2816	0.087746	0.019433
2880	0.073385	0.020916
2944	0.074701	0.022853
3008	0.077854	0.023903
3072	0.107854	0.023828
2048	0.047521	0.011259
2112	0.036051	0.011067
2176	0.037061	0.012506
2240	0.040081	0.012467
2304	0.050405	0.013689
2368	0.045454	0.013668
2432	0.047919	0.014625
2496	0.050356	0.015266
2560	0.072913	0.016050
2624	0.055838	0.016826
2688	0.059995	0.017552
2752	0.064560	0.018620
2816	0.084476	0.019492
2880	0.074139	0.020674
2944	0.076269	0.021924
3008	0.076597	0.022329
3072	0.105625	0.022977
2048	0.045779	0.010442
2112	0.035547	0.011067
2176	0.038542	0.012092
2240	0.041221	0.012849
2304	0.052372	0.013924
2368	0.045813	0.013802
2432	0.051116	0.014564
2496	0.051570	0.015982
2560	0.074658	0.016089
2624	0.058797	0.017609
2688	0.060590	0.018069
2752	0.062535	0.018950
2816	0.085777	0.019995
2880	0.072784	0.020388
2944	0.078159	0.021465
3008	0.075846	0.022508
3072	0.111266	0.023537
2048	0.047051	0.010525
2112	0.036764	0.011643
2176	0.039367	0.011916
2240	0.040715	0.012252
2304	0.052584	0.013112
2368	0.045494	0.014473
2432	0.050830	0.014905
2496	0.050749	0.015448
2560	0.072648	0.016144
2624	0.055635	0.016792
2688	0.059183	0.017718
2752	0.065165	0.018581
2816	0.086484	0.019199
2880	0.068870	0.021301
2944	0.076301	0.021239
3008	0.075664	0.022667
3072	0.107735	0.024017
2048	0.046299	0.010598
2112	0.036595	0.010844
2176	0.036858	0.012008
2240	0.041001	0.012745
2304	0.052052	0.013020
2368	0.046317	0.014591
2432	0.050414	0.014930
2496	0.053315	0.015526
