2048	0.047838
2112	0.025205
2176	0.027116
2240	0.026577
2304	0.035464
2368	0.030673
2432	0.035544
2496	0.039545
2560	0.088401
2624	0.039382
2688	0.045258
2752	0.043093
2816	0.078351
2880	0.049939
2944	0.054403
3008	0.061201
3072	0.133159
2048	0.051039
2112	0.025618
2176	0.026567
2240	0.026678
2304	0.036991
2368	0.030731
2432	0.034437
2496	0.034672
2560	0.085753
2624	0.040298
2688	0.046563
2752	0.045329
2816	0.075879
2880	0.049334
2944	0.055793
3008	0.054228
3072	0.134182
2048	0.049193
2112	0.026125
2176	0.027461
2240	0.026605
2304	0.038750
2368	0.030937
2432	0.034582
2496	0.034472
2560	0.087306
2624	0.041080
2688	0.044062
2752	0.042722
2816	0.073338
2880	0.047570
2944	0.058125
3008	0.055607
3072	0.134961
2048	0.050257
2112	0.026174
2176	0.027205
2240	0.026285
2304	0.039115
2368	0.030623
2432	0.035329
2496	0.035345
2560	0.086187
2624	0.039866
2688	0.044938
2752	0.043110
2816	0.075370
2880	0.049984
2944	0.058655
3008	0.060629
3072	0.136489
2048	0.053047
2112	0.026603
2176	0.027290
2240	0.027562
2304	0.037636
2368	0.031570
2432	0.034857
2496	0.035289
2560	0.088169
2624	0.039742
2688	0.044567
2752	0.044589
2816	0.077816
2880	0.049892
2944	0.057110
3008	0.055234
3072	0.135394
2048	0.052767
2112	0.026558
2176	0.026938
2240	0.027429
2304	0.038264
2368	0.035631
2432	0.035623
2496	0.034665
2560	0.094946
2624	0.040648
2688	0.045283
2752	0.043648
2816	0.078345
2880	0.050919
2944	0.054572
3008	0.058184
3072	0.135833
2048	0.053889
2112	0.026374
2176	0.027223
2240	0.026678
2304	0.039058
2368	0.031186
2432	0.035124
2496	0.035246
2560	0.086905
2624	0.040446
2688	0.045624
2752	0.045222
2816	0.073410
2880	0.050881
2944	0.056357
3008	0.054286
3072	0.137241
2048	0.054188
2112	0.027051
2176	0.027515
2240	0.026899
2304	0.043421
2368	0.031738
2432	0.035092
2496	0.035293
2560	0.088047
2624	0.042444
2688	0.046889
2752	0.043977
2816	0.079554
2880	0.049466
2944	0.058150
3008	0.054847
3072	0.135681
2048	0.053532
2112	0.026485
2176	0.027938
2240	0.026656
2304	0.039868
2368	0.031411
2432	0.035363
2496	0.035246
2560	0.086186
2624	0.040542
2688	0.046317
2752	0.043230
2816	0.074645
2880	0.051023
2944	0.056621
3008	0.055462
3072	0.136731
2048	0.053236
2112	0.026672
2176	0.027682
2240	0.027176
2304	0.038027
2368	0.031705
2432	0.036232
2496	0.035120
2560	0.088436
2624	0.040534
2688	0.046004
2752	0.046002
2816	0.077389
2880	0.050791
2944	0.057323
3008	0.056988
3072	0.137723
2048	0.052622
2112	0.026514
2176	0.027540
2240	0.027213
2304	0.036659
2368	0.031710
2432	0.035770
2496	0.036107
2560	0.089290
2624	0.040584
2688	0.045297
2752	0.044210
2816	0.074734
2880	0.051616
2944	0.056090
3008	0.054591
3072	0.136065
2048	0.053462
2112	0.026712
2176	0.027365
2240	0.026413
2304	0.039141
2368	0.031719
2432	0.035212
2496	0.034977
2560	0.088819
2624	0.039513
2688	0.044288
2752	0.044652
2816	0.077659
2880	0.049291
2944	0.056880
3008	0.054281
3072	0.137337
2048	0.053874
2112	0.026300
2176	0.027528
