100    .01160000000000000000    138649    4131    .01135300000000000000    140371    4129
132    .02674700000000000000    433497    6928    .02637200000000000000    438303    6928
164    .05272700000000000000    1356101    10493    .05276700000000000000    1367392    10492
196    .08810900000000000000    1015982    17077    .08859300000000000000    1022855    17654
228    .14011400000000000000    1618682    19932    .14044200000000000000    1628147    19924
260    .21735100000000000000    4399313    25794    .21782300000000000000    4430344    25800
292    .31580000000000000000    3532804    32727    .31939300000000000000    3550492    32823
324    .45290100000000000000    8502504    40223    .45677600000000000000    8551764    40351
356    .60880200000000000000    14937328    61552    .61177700000000000000    15017270    63912
388    .78722200000000000000    18082534    58148    .79677200000000000000    18173719    58558
