2    .00169700000000000000    2593    690    .00142600000000000000    2588    691
4    .00101700000000000000    2593    695    .00093400000000000000    2588    696
6    .00091900000000000000    2593    703    .00069000000000000000    2588    704
8    .00053400000000000000    2593    715    .00079000000000000000    2588    716
10    .00032300000000000000    2593    729    .00010500000000000000    2590    730
12    .00031900000000000000    2593    746    .00034900000000000000    2590    747
14    .00001100000000000000    2595    766    .00001600000000000000    2590    767
16    .00001700000000000000    2595    790    .00020500000000000000    2590    791
18    .00002400000000000000    2595    816    .00003200000000000000    2590    817
20    .00004000000000000000    2595    845    .00024700000000000000    2590    846
22    .00005400000000000000    2596    877    .00006000000000000000    2591    878
24    .00033900000000000000    2596    913    .00032300000000000000    2591    914
26    .00008800000000000000    2598    951    .00010000000000000000    2594    952
28    .00010800000000000000    2606    992    .00041700000000000000    2602    993
30    .00013600000000000000    2607    1037    .00016600000000000000    2603    1038
32    .00017500000000000000    2618    1086    .00023500000000000000    2613    1087
34    .00021000000000000000    2629    1139    .00021200000000000000    2624    1140
36    .00074400000000000000    2658    1204    .00024700000000000000    2654    1205
38    .00031200000000000000    2676    1262    .00062700000000000000    2671    1263
40    .00040200000000000000    2756    1321    .00033800000000000000    2751    1322
